key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14234,03-Feb-15,1,27,FRAY SERVANDO,2,7,6544.8772,8,2.8749085,NA,NA,NA,142,122,0
14235,03-Feb-15,1,27,PUERTO,2,3,4900.1338,9,1.5254443,NA,NA,NA,206,106,0
14236,03-Feb-15,1,31,TIJUANA PLAYAS,1,1,302.151,3,0.48232498,NA,NA,NA,385,34,0
14237,03-Feb-15,1,26,PATRIOTISMO,2,10,8079.4136,7,2.2800518,NA,NA,NA,281,85,0
14238,03-Feb-15,0,27,ESCANDON,2,8,6854.061,10,1.4514478,NA,NA,NA,286,94,0
14239,03-Feb-15,1,34,MONTERREY VOLCAN,1,3,1078.3665,,,NA,NA,NA,,45,0
14240,03-Feb-15,0,29,MONTERREY SENDERO,1,22,17542.095,12,3.7262263,NA,NA,NA,211,268,1
14241,03-Feb-15,1,32,MONTERREY SENDERO,1,9,2971.4988,16,8.2062678,NA,NA,NA,414,85,0
14242,03-Feb-15,0,32,CUERNAVACA,2,3,604.302,13,2.7708438,NA,NA,NA,221,50,0
14243,03-Feb-15,0,25,TORREON COMARCA,1,1,629.98483,,,NA,NA,NA,,13,0
14244,03-Feb-15,0,39,TIJUANA INSURGENTES,1,31,11827.414,21,3.3389704,NA,NA,NA,226,153,0
14245,03-Feb-15,0,34,TIJUANA PLAYAS,1,6,2022.1195,17,5.3665869,NA,NA,NA,322,83,0
14246,03-Feb-15,1,28,JUAREZ CHAMIZAL,1,5,1309.8246,10,1.4434337,NA,NA,NA,736,42,0
14247,03-Feb-15,1,35,NA,2,3,779.54958,10,2.4364414,NA,NA,NA,301,55,0
14248,03-Feb-15,0,37,LAS AGUILAS,2,19,13964.377,21,3.2339542,NA,NA,NA,229,468,1
14249,03-Feb-15,0,25,MATAMOROS,1,4,1409.6699,9,1.7210682,NA,NA,NA,143,80,0
14250,03-Feb-15,1,28,TLAXCALA,2,2,362.5812,11,4.8317789,NA,NA,NA,298,65,0
14251,03-Feb-15,1,32,GUADALAJARA AJIJIC,1,5,2004.7719,7,1.1044774,NA,NA,NA,284,65,0
